Risco,Categoria,Probabilidade,Impacto,Mitigação
Falha na conectividade dos sensores,Técnicos,Média,Alto,Testes de rede pré-instalação; usar redundância de comunicação; SLA com fornecedor
Incompatibilidade entre sensores e plataforma,Técnicos,Média,Médio,Prova de conceito (PoC) com amostras; definir padrões e APIs
Falsos positivos/ruído nos sensores de ocupação,Técnicos,Média,Médio,"Calibração, filtragem de sinais e validação cruzada com outros dados"
Vulnerabilidade de segurança e vazamento de dados,Técnicos,Baixa,Alto,Criptografia em trânsito e repouso; segmentação de rede; políticas IAM
Atraso na entrega/fornecimento de equipamentos,Operacionais,Média,Médio,"Planejamento com buffers, múltiplos fornecedores e cláusulas contratuais"
Interferência nas operações do Facilities durante instalação,Operacionais,Média,Baixo,Cronograma noturno/fora do expediente; comunicação prévia aos colaboradores
Resistência dos funcionários à mudança,Humanos,Alta,Médio,"Campanha de comunicação, workshops e canais de feedback com RH"
Questões de privacidade percebida pelos funcionários,Humanos,Média,Alto,Política clara de dados; anonimização e transparência sobre uso dos dados
ROI abaixo do esperado (economia de energia menor),Operacionais,Média,Alto,Medição baseline antes da intervenção; ajustes de estratégias e definição de KPIs claros
Falta de capacitação técnica para manutenção,Operacionais,Baixa,Médio,Treinamento para equipe de Facilities; contrato de suporte com fornecedor
